obsC,timeC,obsI,timeI
58.6,1980,29.86,1980
57.7,1981,51.27,1981
41.5,1982,32.65,1982
61.3,1983,87.28,1983
50.4,1984,40.67,1984
51.3,1985,39.30,1985
57.3,1986,37.68,1986
62.7,1987,83.08,1987
64.8,1988,14.92,1988
28.0,1989,41.40,1989
32.2,1990,54.97,1990
58.6,1991,35.92,1991
52.1,1992,55.97,1992
53.0,1993,36.92,1993
48.0,1994,44.58,1994
47.4,1995,41.40,1995
46.9,1996,40.60,1996
46.3,1997,36.61,1997
45.8,1998,40.84,1998
45.2,1999,39.74,1999
44.7,2000,38.09,2000
44.1,2001,35.67,2001
43.6,2002,40.52,2002
43.0,2003,36.34,2003
42.5,2004,34.77,2004
41.9,2005,35.31,2005
41.4,2006,33.32,2006
40.8,2007,34.30,2007
40.3,2008,32.97,2008
