sci_name,deep,shallow,difference 
Achirus achirus,8.525,19.829,-11.304
Anchoa mitchilli,12.067,26.947,-14.880
Anchoa spinifer,14.796,26.416,-11.620
Arius proops,30.416,35.965,-5.549
Bagre bagre,27.371,26.759,0.612
Batrachoides surinamensis,20.243,23.547,-3.304
Callinectes ornatus,17.729,21.988,-4.259
Centropomus pectinatus,16.028,31.430,-15.402
Chaetodipterus faber,5.697,24.812,-19.116
Chloroscombrus chrysurus,11.020,19.500,-8.480
Colomesus psittacus,14.710,26.073,-11.362
Conodon nobilis,0.535,8.400,-7.865
Cynoscion virescens,27.932,25.377,2.555
Dasyatis geijskesi,30.190,15.750,14.440
Dasyatis guttata,7.892,29.919,-22.027
Epinephelus flavolimbatus,4.780,0.795,3.985
Genyatremus luteus,7.867,21.259,-13.392
Gymnura micrura,18.431,28.708,-10.277
Harengula jaguana,9.439,23.263,-13.824
Hepatus gronovii,8.038,12.945,-4.907
Hepatus pudibundus,0.010,38.905,-38.895
Larimus breviceps,34.765,31.923,2.842
Lolliguncula brevis,0.010,22.990,-22.980
Lonchurus elegans,13.800,30.071,-16.270
Macrodon ancylodon,38.146,39.590,-1.444
Micropogonias furnieri,11.857,15.958,-4.101
Multiple species finfish,15.486,27.623,-12.137
Multiple species prawns,11.100,32.517,-21.416
Mustelus higmani,24.733,2.195,22.538
Narcine brasiliensis,26.336,16.846,9.490
Nebris microps,25.401,34.079,-8.678
Ophichthus gomesii,11.257,21.964,-10.706
Paralonchurus brasiliensis,19.130,24.245,-5.115
Paulita tuberculata,0.110,0.020,0.090
Persephona lichtensteinii,9.088,15.732,-6.644
Polymixia lowei,15.910,39.736,-23.826
Pseudobatos percellens,3.180,20.735,-17.555
Scomberomorus brasiliensis,0.560,28.368,-27.808
Scyphozoa sp.,13.768,25.897,-12.129
Selene brownii,0.880,21.463,-20.583
Sphoeroides testudineus,10.545,10.135,0.410
Squilla mantis,8.734,21.179,-12.445
Stellifer microps,70.373,38.400,31.973
Stellifer rastrifer,65.913,50.051,15.861
Symphurus plagusia,11.632,39.271,-27.639
Trichiurus lepturus,13.420,26.243,-12.823
Urotrygon microphthalmum,12.374,21.780,-9.406
