com,trip_no,dep_date,vessel,das,groups,com_name,total_wt_lbs,drags_sampled,ave_drag_wt_lbs,total_trip_hauls,scaled_trip_wt
nhs,trip_1,14/02/2019,world_friend_508,11,target_catch,seabob,2085,6,348,48,16680
nhs,trip_1,14/02/2019,world_friend_508,11,retained_bycatch,finfish,65,6,10.83,48,520
nhs,trip_1,14/02/2019,world_friend_508,11,retained_bycatch,prawns,16,6,3,48,130
nhs,trip_1,14/02/2019,world_friend_508,11,discarded_bycatch,multiple_spp,1600,6,267,48,12800
psi,trip_2,22/03/2019,maria_gu,6,target_catch,seabob,1575,6,263,24,6300
psi,trip_2,22/03/2019,maria_gu,6,retained_bycatch,finfish,38,6,6.33,24,152
psi,trip_2,22/03/2019,maria_gu,6,retained_bycatch,prawns,5,6,1,24,18
psi,trip_2,22/03/2019,maria_gu,6,discarded_bycatch,multiple_spp,2868,6,478,24,11472
psi,trip_3,25/04/2019,falcon_94,8,target_catch,seabob,3165,6,528,36,18990
psi,trip_3,25/04/2019,falcon_94,8,retained_bycatch,finfish,126,6,21.02,36,757
psi,trip_3,25/04/2019,falcon_94,8,retained_bycatch,prawns,12,6,2,36,70
psi,trip_3,25/04/2019,falcon_94,8,discarded_bycatch,multiple_spp,3418,6,570,36,20507
psi,trip_4,19/06/2019,typhoon,7,target_catch,seabob,3612,6,602,30,18060
psi,trip_4,19/06/2019,typhoon,7,retained_bycatch,finfish,117,6,19.42,30,583
psi,trip_4,19/06/2019,typhoon,7,retained_bycatch,prawns,440,6,73,30,2200
psi,trip_4,19/06/2019,typhoon,7,discarded_bycatch,multiple_spp,2083,6,347,30,10417
nhs,trip_5,01/08/2019,ebb_tide,10,target_catch,seabob,1575,6,263,37,9713
nhs,trip_5,01/08/2019,ebb_tide,10,retained_bycatch,finfish,189,6,31.43,37,1163
nhs,trip_5,01/08/2019,ebb_tide,10,retained_bycatch,prawns,15,6,3,37,95
nhs,trip_5,01/08/2019,ebb_tide,10,discarded_bycatch,multiple_spp,1922,6,320,37,11855
nhs,trip_6,14/09/2019,olivia,6,target_catch,seabob,2235,6,373,24,8940
nhs,trip_6,14/09/2019,olivia,6,retained_bycatch,finfish,278,6,46.38,24,1113
nhs,trip_6,14/09/2019,olivia,6,retained_bycatch,prawns,5,6,1,24,22
nhs,trip_6,14/09/2019,olivia,6,discarded_bycatch,multiple_spp,4907,6,818,24,19628
psi,trip_7,05/10/2019,maria_de,5,target_catch,seabob,1960,6,327,18,5880
psi,trip_7,05/10/2019,maria_de,5,retained_bycatch,finfish,94,6,15.59,18,281
psi,trip_7,05/10/2019,maria_de,5,retained_bycatch,prawns,2,6,0,18,6
psi,trip_7,05/10/2019,maria_de,5,discarded_bycatch,multiple_spp,3537,6,589,18,10610
nhs,trip_8,15/02/2020,olivia,9,target_catch,seabob,2320,6,387,42,16240
nhs,trip_8,15/02/2020,olivia,9,retained_bycatch,finfish,129,6,21.43,42,900
nhs,trip_8,15/02/2020,olivia,9,retained_bycatch,prawns,15,6,2,42,103
nhs,trip_8,15/02/2020,olivia,9,discarded_bycatch,multiple_spp,2640,6,440,42,18479
